Primary Source	Primary Source Concept ID	syndrome	RashSyn	HemorrhagicSyn	BotulicSyn	NeuroSyn	ConstitutionalSyn	SensitiveResp	SpecificResp	RespSyn	SensitiveGI	SpecificGI	GISyn	ILISyn	Concept	SubConcept	Relation to Concept	UMLS concept ID	Diagnosis	Syndrome	Physical Finding	Symptom	Sign	Related Disorder	Analog Disease	Bioterrorism Disease	Chest Radiograph	SNOMED	MESH	ICD-9	RadLex	CCC-Complaint	CCC-title	Keywords/RegExps
SyndromeCC		Respiratory	0	0	0	0	0	1		1				1	SoreThroat	Pharyngitis	Synonym	C0031350:Pharyngitis	1	0	0	0	0	1	0	0	0		Pharyngitis [C08.730.561]					inflammed throat [\binflam.*?\s+throat\b] [C0031350:Pharyngitis]:::pharyngitis [\bpharyngitis\b] [C0031350:Pharyngitis]:::pharynsitis [\bpharynsitis\b] [C0031350:Pharyngitis]:::pheryngitis [\bpheryngitis\b] [C0031350:Pharyngitis]:::pustules in throat [\bpustul.*?\s+in\s+throat\b] [C0031350:Pharyngitis]:::strep [\bstrep\b] [C0031350:Pharyngitis]:::strep throat [\bstrep\s+throat\b] [C0031350:Pharyngitis]:::inflamed throat [\binflamed\s+throat\b] [C0031350:Pharyngitis]:::pharygitis [\bpharygitis\b] [C0031350:Pharyngitis]:::pharyngiits [\bpharyngiits\b] [C0031350:Pharyngitis]:::pharyngitis [\bpharyngitis\b] [C0031350:Pharyngitis]:::pharyngitits [\bpharyngitits\b] [C0031350:Pharyngitis]:::pharyngotonsillitis [\bpharyngotonsillitis\b] [C0031350:Pharyngitis]:::pharyngtis [\bpharyngtis\b] [C0031350:Pharyngitis]:::pharynigitis [\bpharynigitis\b] [C0031350:Pharyngitis]:::pharynitis [\bpharynitis\b] [C0031350:Pharyngitis]:::phayngitis  [\bphayngitis\b] [C0031350:Pharyngitis] :::strep [\bstrep\b] [C0036689:Strep throat]:::throat inf [\bthroat\s+inf\b] [C0729771:Throat infection]:::throat infec [\bthroat\s+infec.*?\b] [C0729771:Throat infection]:::pharingitis [\bpharingitis\b] [C0031350:Pharyngitis]:::pharyngitis [\bpharyngitis\b] [C0031350:Pharyngitis]:::pharynsitis [\bpharynsitis\b] [C0031350:Pharyngitis]:::pheryngitis [\bpheryngitis\b] [C0031350:Pharyngitis]:::
SyndromeCC		Respiratory	0	0	0	0	0	1		1				1	SoreThroat	SoreThroat	ConceptName	C0242429:SORETHROAT	0	0	0	1	0	0	0	0	0		Pharyngitis [C07.550.781]					sorethroat [\bsore\s?throat\b] [C0242429:SORETHROAT]:::soar throat [\bsore\s?throat\b] [C0242429:SORETHROAT]:::soarthroat [\bsoarthroat\b] [C0242429:SORETHROAT]:::dorethroat [\bdorethroat\b] [C0242429:SORETHROAT]:::scratchy throat [\bscratchy\s*throat\b] [C0700184:scratchy throat]:::soerthroat [\bsoerthroat\b] [C0242429:SORETHROAT]:::sore thr [\bsore\s*thr.*?\b] [C0242429:SORETHROAT]:::sore thrat [\bsore\s+thrat\b] [C0242429:SORETHROAT]:::sore throa [\bsore\s+throa\b] [C0242429:SORETHROAT]:::sore throat [\bsore\s+throat\b] [C0242429:SORETHROAT]:::sore trhoat [\bsore\strhoat\b] [C0242429:SORETHROAT]:::sorethroat [\bsorethroat\b] [C0242429:SORETHROAT]:::throat pain [\bthroat\s+pain\b] [C0242429:SORETHROAT]:::burning in throat [\bburn.*?\s+in\s+throat\b] [C0242429:SORETHROAT]:::pain* throat [\bpain.*?\sthroat\b] [C0242429:SORETHROAT]:::soar throat [\bsoar\s+throat\b] [C0242429:SORETHROAT]:::sopre throat [\bsopre\s+throat\b] [C0242429:SORETHROAT]:::sor ethroat [\bsor\s+ethroat\b] [C0242429:SORETHROAT]:::sor throat [\bsor\s+throat\b] [C0242429:SORETHROAT]:::sore thoart [\bsore\s+thoart\b] [C0242429:SORETHROAT]:::sore thoat [\bsore\s+throat\b] [C0242429:SORETHROAT]:::sore thorat [\bsore\s+thorat\b] [C0242429:SORETHROAT]:::sore thoroat [\bsore\s+thoroat\b] [C0242429:SORETHROAT]:::sore thr [\bsore\s+thr.*?\b] [C0242429:SORETHROAT]:::sore thraot [\bsore\s+thraot\b] [C0242429:SORETHROAT]:::sore thriat [\bsore\s+thriat\b] [C0242429:SORETHROAT]:::sore thro [\bsore.*?\s+thro.*?\b] [C0242429:SORETHROAT]:::sore thrt [\bsore\s+thrt\b] [C0242429:SORETHROAT]:::sore tnroat [\bsore\s+tnroat\b] [C0242429:SORETHROAT]:::sore troat [\bsore\s+troat\b] [C0242429:SORETHROAT]:::sorethprat [\bsorethprat\b] [C0242429:SORETHROAT]:::sorethraot [\bsorethraot\b] [C0242429:SORETHROAT]:::soretroat [\bsoretroat\b] [C0242429:SORETHROAT]:::sorre throat [\bsorre\s+throat\b]  [C0242429:SORETHROAT]:::sosre throat [\bsosre\s+throat\b] [C0242429:SORETHROAT]:::swelling in throat [\bswelling\s+in\s+throat\b] [C0242429:SORETHROAT]:::swollen throat [\bswo.*?\s+throat\b] [C0242429:SORETHROAT]:::swollen uvula [\bswol.*?\s+uvula\b] [C0242429:SORETHROAT]:::throart swelling [\bthroart\s+sw.*?\b] [C0242429:SORETHROAT]:::throat ache [\bthroat\s+ach.*?\b] [C0242429:SORETHROAT]:::throat burning [\bthroat\s+burn.*?\b] [C0242429:SORETHROAT]:::throat discomfort [\bthroat\s+disc.*?] [C0242429:SORETHROAT]:::throat disconfort [\bthroat\s+disc.*?] [C0242429:SORETHROAT]:::throat drainage [\bthroat\s+drain.*?\b] [C0242429:SORETHROAT]:::throat hurt [\bthroat\s+hurt.*?\b] [C0242429:SORETHROAT]:::throat irr [\bthroat\s+irr.*?\b] [C0700184:Throat irritation]:::throat irritation [\bthroat\s+irr.*?\b] [C0700184:Throat irritation]:::throat pa [\bthroat\s+pa.*?\b] [C0242429:SORETHROAT]:::throat pn [\bthroat\s+pn\b] [C0242429:SORETHROAT]:::throat sore [\bthroat\s+sor.*?\b] [C0242429:SORETHROAT]:::throat swel [\bthroat\s+swel.*?\b] [C0242429:SORETHROAT]:::throat swollen [\bthroat\s+sw.*?\b] [C0242429:SORETHROAT]:::throat tingling [\bthroat\s+ting.*?\b] [C0242429:SORETHROAT]:::throat(.*?)tight [\bthroat(.*?)tight\b] [C0242429:SORETHROAT]:::throatp [\bthroatp\b] [C0242429:SORETHROAT]:::achey throat [\bach.*?\s+throat\b] [C0242429:SORETHROAT]:::scratchy throat [\bscrat.*?\s+throat\b] [C0700184:scratchy throat]:::sore thort [\bsore\s+thort\b] [C0242429:SORETHROAT]:::sore thr [\bsore\s+thr\b] [C0242429:SORETHROAT]:::sore trhoat [\bsore\s+trhoat\b] [C0242429:SORETHROAT]:::sorethroat [\bsorethroat\b] [C0242429:SORETHROAT]:::
SyndromeCC		Respiratory	0	0	0	0	0	1		1				1	SoreThroat	Tonsillitis	RelatedConcept	C0040425:Tonsillitis	1	0	0	0	0	1	0	0	0		Tonsillitis [C07.550.781.750]					tonsilitis [\btonsilitis\b] [C0040425:Tonsillitis]:::tonsillitis [\btonsillitis\b] [C0040425:Tonsillitis]:::tonsulitis [\btonsulitis\b] [C0040425:Tonsillitis]:::inflammed tonsil [\binflammed\s+tonsil.*?\b] [C0040425:Tonsillitis]:::swollen tonsil [\bswollen\s+tonsil\b] [C0040425:Tonsillitis]:::tonsil infection [\btonsil\s+infection\b] [C0040425:Tonsillitis]:::tonsil pain [\btonsil\s+pain.*?\b] [C0040425:Tonsillitis]:::tonsil problem [\btonsil\s+problem\b] [C0040425:Tonsillitis]:::tonsil swelling [\btonsil.*?\s+swel.*?\b] [C0040425:Tonsillitis]:::tonsilar swelling [\btons.*?\s+sw.*?\b] [C0040425:Tonsillitis]:::tonsilitis [\btonsil.*?\b] [C0040425:Tonsillitis]:::tonsillar swelling [\btonsil.*?\s+sw.*?\b] [C0040425:Tonsillitis]:::tonsilli [\btonsil.*?\b] [C0040425:Tonsillitis]:::tonsillis [\btonsil.*?\b] [C0040425:Tonsillitis]:::tonsilliti [\btonsil.*?\b] [C0040425:Tonsillitis]:::tonsills infected [\btonsil.*?\b] [C0040425:Tonsillitis]:::tonsils enlarged [\btonsil.*?\b] [C0040425:Tonsillitis]:::tonsils infected [\btonsil.*?\b] [C0040425:Tonsillitis]:::tonsils pain [\btonsil.*?\b] [C0040425:Tonsillitis]:::tonsils swelled [\btonsil.*?\b] [C0040425:Tonsillitis]:::tonsils swollen [\btonsil.*?\b] [C0040425:Tonsillitis]:::tonsilitis [\btonsil.*?\b] [C0040425:Tonsillitis]:::tonsillitis [\btonsil.*?\b] [C0040425:Tonsillitis]:::tonsulitis [\btonsul.*?\b] [C0040425:Tonsillitis]:::
CCOntology			0	0	0	0	0							1	SoreThroat	ThroatSwelling	RelatedConcept	C1704205:Throat swelling 	0	0	1	0	1			0	0							throat swelling [\bthroat\s+sw(e|o)l.*?\b] [C0031350:Pharyngitis]:::swollen throat [\bsw(o|e)l.*?\sthroat\b] [C0031350:Pharyngitis]:::
SyndromeCC		Respiratory	0	0	0	0	0	1		1				1	UpperRespiratoryInfection	ColdSymptoms	Synonym	C0863093:Cold symptoms	0	0	0	1	0	0	0	0	0							cold [\bcold\b] [C0863093:Cold symptoms]:::cold symptoms [\bcold\s+sympto.*?\b] [C0863093:Cold symptoms]:::cold sx [\bcold\s+sx\b][C0863093:Cold symptoms]:::
SyndromeCC		Respiratory	0	0	0	0	0	1		1				1	UpperRespiratoryInfection	UpperRespiratoryInfection	ConceptName	C0041912:Upper respiratory infection	1	0	0	0	0	1	0	0	0		Respiratory Tract Infections [C01.539.739]					u r i [\bu(\s|\.)?r(\s|\.)?i(\s|\.)?\b] [C0041912:Upper respiratory infection]:::u.r.i. [\bu(\s|\.)?r(\s|\.)?i(\s|\.)?\b] [C0041912:Upper respiratory infection]:::upper respiratory [\bupper\s+resp.*?\b] [C0041912:Upper respiratory infection]:::upper respiratory infection [\bupper\s+resp.*?\s+infec.*?\b] [C0041912:Upper respiratory infection]:::upper respitory [\bupper\s+resp.*?\b] [C0041912:Upper respiratory infection]:::ur i [\bu(\s|\.)?r(\s|\.)?i(\s|\.)?\b] [C0041912:Upper respiratory infection]:::uri [\bu(\s|\.)?r(\s|\.)?i(\s|\.)?\b] [C0041912:Upper respiratory infection]:::uris [\buris\b] [C0041912:Upper respiratory infection]:::urti [\burti\b] [C0041912:Upper respiratory infection]:::usi [\busi\b] [C0041912:Upper respiratory infection]:::ur i [\bur\s+i\b] [C0041912:Upper respiratory infection]:::
ICD	79	Constutional	0	0	0	0	1							1	ViralInfection	ViralInfection	ConceptName	C0042769:Viral infection NOS	1	0	0	0	0	1	0	0	0							viral infection
SyndromeCC		Constutional	0	0	0	0	1							1	ViralSymptoms	ViralSymptoms	ConceptName		0	1	0	1	0	0	0	0	0							virus [\bvirus\b] [C0042769:virus]:::viral [\bviral\b] [C0042769:virus]:::
BN		ILI	0	0	0	0	0							1	ViralSyndrome	ViralSyndrome	ConceptName	C0042740	0	1	0	1	1			0	0							viral syndrome
RODS CC		Botulinic	0	0	1	1	0							1	VisionProblem	Photophobia	RelatedConcept	C0085636:Photophobia	0	0	1	1	0	0	0	0	0		Photophobia [C10.597.751.941.661]					"photophobia, aversion to light"
SyndromeCC		Respiratory	0	0	0	0	0	1	1	1				1	Wheezing	Asthma	RelatedConcept	C0004096:Asthma	1	0	0	0	0	0	1	0	0		Asthma [C08.127.108]					asth* [\basth.*?\b] [C0004096:Asthma]:::asmtha [\basmtha\b] [C0004096:Asthma]:::ashtma [\bashtma\b] [C0004096:Asthma]:::astma [\bastma\b] [C0004096:Asthma]:::asyhma [\basyhma\b] [C0004096:Asthma]:::azth* [\bazth.*?\b] [C0004096:Asthma]:::asthma [\basthma\b] [C0004096:Asthma]:::asthama [\basthama\b] [C0004096:Asthma]:::asthmatic [\asthmatic\b] [C0004096:Asthma]:::asthma [\basthma\b] [C0004096:Asthma]:::asthmatic [\basthmatic\b] [C0004096:Asthma]:::asthmia [\basthmia\b] [C0004096:Asthma]:::status [\bstatus\b] [C0004096:Asthma]:::asthmaticus [\basthmaticus\b] [C0004096:Asthma]:::ashtma [\bashtma\b] [C0004096:Asthma]:::asma [\basma\b] [C0004096:Asthma]:::asthama [\basthama\b] [C0004096:Asthma]:::asthamtic [\asthamtic\b] [C0004096:Asthma]:::asthma [\basthma\b] [C0004096:Asthma]:::asthmia [\basthmia\b] [C0004096:Asthma]:::asthmaticus [\basthmaticus\b] [C0004096:Asthma]:::
SyndromeCC		Respiratory	0	0	0	0	0		1	1				1	Wheezing	Wheezing	ConceptName	C0043144:Wheezing	0	0	1	1	0	0	0	0	0		Respiratory Sounds [C23.888.852.779] 					whez [\bwhez.*?\b] [C0043144:Wheezing]:::wheezing [\bwheez.*?\b] [C0043144:Wheezing]:::weezing [\bweez.*?\b] [C0043144:Wheezing]:::wheeszing [\bwheez.*?\b] [C0043144:Wheezing]:::wheeze [\bwheez.*?\b] [C0043144:Wheezing]:::wheezy [\bwheez.*?\b] [C0043144:Wheezing]:::whezzing [\bwhez.*?\b] [C0043144:Wheezing]:::wheeszing [\bwhee*.?\b] [C0043144:Wheezing]:::wheeze [\bwheez.*?\b] [C0043144:Wheezing]:::wheezing [\bwheez.*?\b] [C0043144:Wheezing]:::wheezy [\bwheez.*?\b] [C0043144:Wheezing]:::whezzing [\bwhez.*?\b] [C0043144:Wheezing] :::
CCOntology			0	0	0	0	0	1		1				1	Wheezing	ReactiveAirways	RelatedConcept		1	1	0	0	0			0	0							brochospasm [\bbro.?chospasm\b] [C0006266:Bronchial Spasm]:::chest tight [\bchest\s+tight\b] [C0232292:Chest tightness] :::r a d [\br(\s+|\.)?a(\s+|\.)?d(\s+|\.)?\b] [C0302862:Reactive airways disease]:::rad [\brad\b] [C0302862:Reactive airways disease]:::reactive airway disease [\breact.*?\s+airwa.*?\s+disea.*?\b] [C0302862:Reactive airways disease]:::chest tightness [\bchest\s+tight.*?\b] [C0302862:Reactive airways disease]:::
55 respiratory		Gastrointestinal	0	0	0	0	0				1		1	0	AbdominalDistension	AbdominalDistension	ConceptName	C0000731:ABDOMINAL DISTENTION	0	0	1	0	1	0	0	0	0							"abdominal distension, abdominal organomegally"
SyndromeCC		Gastrointestinal	0	0	0	0	0				1		1	0	AbdominalPain	AbdominalPain	ConceptName	C0000737:Abdominal Pain	0	0	0	1	0	0	0	0	0		Abdominal Pain [C23.888.646.100]					abd* ache* [\babd.*?\s+aches*\b] [C0000737:Abdominal Pain]:::abd* pian [\babd.*?\s+pian\b] [C0000737:Abdominal Pain]:::abd* discomf* [\babd.*?\s+disc.*?\b] [C0000737:Abdominal Pain]:::abd* px [\abd.*?\s+px\b] [C0000737:Abdominal Pain]:::abd* pn [\babd.*?\s+pn\b] [C0000737:Abdominal Pain]:::ab pain [\bab.?\s+pain\b] [C0000737:Abdominal Pain]:::ab. pain [\bab.?\s+pain\b] [C0000737:Abdominal Pain]:::abd pain [\bab.?\s+pains*\b] [C0000737:Abdominal Pain]:::abd pains [\bab.?\s+pains*\b] [C0000737:Abdominal Pain]:::abd pn [\bab.*?\s+pn\b] [C0000737:Abdominal Pain]:::abd. pain [\babd\.\s+pain\b] [C0000737:Abdominal Pain]:::abdmoninal pain [\babd.*?\s+pain\b] [C0000737:Abdominal Pain]:::abdo pain [\babd.*?\s+pain\b] [C0000737:Abdominal Pain]:::abdomen pain [\babd.*?\s+pain\b] [C0000737:Abdominal Pain]:::abdomianl pain [\babd.*?\s+pain\b]:::abdomin pain [\babd.*?\s+pain\b] [C0000737:Abdominal Pain]:::abdomina pain [\babd.*?\s+pain\b] [C0000737:Abdominal Pain]:::abdominal pain [\babd.*?\s+pain\b] [C0000737:Abdominal Pain]:::abdominal pain. [\babd.*?\s+pain\b\.] [C0000737:Abdominal Pain]:::abdominal pains [\babd.*?\s+pains\b] [C0000737:Abdominal Pain]:::abdomnal pain [\babd.*?\s+pain\b] [C0000737:Abdominal Pain]:::abdonminal pain [\babd.*?\s+pain\b] [C0000737:Abdominal Pain]:::abominal pain [\babd.*?\s+pain\b] [C0000737:Abdominal Pain]:::adb pain [\badb\s+pa?i?n?\b] [C0000737:Abdominal Pain]:::adb pn [\badb\s+pa?i?n?\b] [C0000737:Abdominal Pain]:::adb. pain [\badb\.*\s+pa?i?n?\b] [C0000737:Abdominal Pain]:::adbdominal pain [\badb\.*\s+pa?i?n?\b] [C0000737:Abdominal Pain]:::adominal pain [\b adominal\s+pain\b] [C0000737:Abdominal Pain]:::belly ache [\bbelly\s+ache\b]  [C0000737:Abdominal Pain]:::belly pain [\bbelly\s+pain\b] [C0000737:Abdominal Pain]:::blq pain [\bblq\s+pain\b] [C0000737:Abdominal Pain]:::l q pain [\bl\s+q\s+pain\b] [C0000737:Abdominal Pain]:::lq pain [\blq\s+pain\b] [C0000737:Abdominal Pain]:::quadrant pain [\bquad.*?\s+pain\b] [C0000737:Abdominal Pain]:::r q pain [\br\s+q+pain\b] [C0000737:Abdominal Pain]:::rq pain [\brq\s+pain] [C0000737:Abdominal Pain]:::abd + pain [\babd\s*\+\s*pain\b] [C0000737:Abdominal Pain]:::abd + pressure [\babd\s*\+\s*pressure\b] [C0000737:Abdominal Pain]:::adb pain [\badb\s+pain\b] [C0000737:Abdominal Pain]:::adb pn [\badb\s+pn\b] [C0000737:Abdominal Pain]:::adbdominal pain [\badbdominal\s+pain\b] [C0000737:Abdominal Pain] :::adominal pain [\badominal\s+pain\b] [C0000737:Abdominal Pain]:::abd pn [\babd\s+pn\b] [C0000737:Abdominal Pain]:::
CCOntology			0	0	0	0	0				1		1	0	AbdominalPain	SuprapubicPain	RelatedConcept	C0241310:[D]Suprapubic pain 	0	0	0	0	1			0	0							suprapubic pain [\bsupra.*?pubic\s+pain.*?\b] [C0241310:(D)Suprapubic pain]:::
ICD	789.4	Gastrointestinal	0	0	0	0	0				1		1	0	AbdominalRigidity	AbdominalRigidity	ConceptName	C0159066:[D]Abdominal rigidity	0	0	1	0	1	0	0	0	0							"abdominal rigidity, rigid abdomen, stiff abdomen"
RODS CC		Neurologic	0	0	0	1	0							0	AlteredMentalStatus	Confusion	RelatedConcept	C0009676:Confusion	0	0	1	0	0	0	0	0	0		Confusion [C10.597.606.337]					"confusion, abnormal mental state"
RODS CC		Neurologic	0	0	0	1	0							0	AlteredMentalStatus	Disorientation	RelatedConcept	C0009676:Disorientation	0	0	1	0	0	0	0	0	0		Confusion [C10.597.606.337]					disorientation
RODS CC		Neurologic	0	0	0	1	0							0	AlteredMentalStatus	AlteredMentalStatus	ConceptName		0	0	1	0	0	0	0	0	0							"altered mental status, unconscious,  coma, obtunded, limp"
RODS CC		Neurologic	0	0	0	1	0							0	AlteredMentalStatus	Amnesia	RelatedConcept	C0002622:Amnesia	0	0	1	0	0	0	0	0	0		Amnesia [C10.597.606.525.100]					"amnesia, no memory"
RODS CC		Neurologic	0	0	0	1	0							0	AlteredMentalStatus	Dementia	RelatedConcept	C0497327:Dementia	1	0	0	0	0	0	0	0	0		Dementia [C10.228.140.380]					"dementia, mental deteriation"
Biocaster	SYMPTOM_151	Neurologic	0	0	0	1	0							0	AlteredMentalStatus	Hallucination	RelatedConcept	C0018524:Hallucination 	0	0	0	0	1	0	0	0	0		Hallucinations [C10.597.606.762.300]					hallucination
Biocaster	DISEASE_497	Rash	1	0	0	0	0							0	Anthrax	CutaneousAnthrax  	RelatedConcept	C0003177:Cutaneous anthrax	1	0	0	0	0	1	0	0	0		Anthrax [C01.252.410.090.072]					"cutaneous anthrax, eschar"
Biocaster	492	Respiratory	0	0	0	0	0	1	1	1				0	Anthrax	Anthrax	ConceptName	C0003175:Anthrax	1	0	0	0	0	0	0	1	0		Anthrax [C01.252.410.090.072]					"anthrax, widened mediastinum, eschar"
SyndromeCC		Respiratory	0	0	0	0	0	1		1				0	Apnea	Apnea	ConceptName	C1963065:Apnea	0	0	1	0	1	0	0	0	0		Apnea [C08.618.085]					agonal [\bagonal\b] [C1963065:Apnea]:::apnea (exclude sleep apnea) [(?<!sleep\s)\bapnea\b] [C1963065:Apnea]:::apnic [\bapnic\b] [C1963065:Apnea]:::not breathing [\bnot\s+breath.*?\b] [C1963065:Apnea]:::resp* arrest [\bresp.*?\s+arrest\b] [C1963065:Apnea]:::stop* breath* [\bstop.*?\s+brea.*?\b] [C1963065:Apnea]:::
CCOntology			0	0	0	0	0	1		1				0	Apnea	RespiratoryFailure	RelatedConcept	C1145670:Respiratory Failure	1	0	0	0	1			0	0		Respiratory Insufficiency [C08.618.846]					resp* failure [\bresp.*?\s+fail.*?\b] [C1145670:Respiratory Failure]:::
ICD	2655	gastrointestinal	0	0	0	0	0				1	1	1	0	Appendicitis	Appendicitis	ConceptName	C0003615:Appendicitis	1	0	0	0	0	1	0	0	0		 Appendicitis [C06.405.205.099]					"appendicitis, abdominal pain, right lower quadrant pain"
RODS CC		Neurologic	0	0	0	1	0							0	Ataxia	Falling	RelatedConcept	C0085639:FALLING	0	0	1	0	0	0	0	0	0		Accidental Falls [N06.850.135.122]					falling
RODS CC		Neurologic	0	0	0	1	0							0	Ataxia	Ataxia	ConceptName	C0004134:Ataxia	0	0	1	0	0	0	0	0	0		Ataxia [C10.597.350.090]					"ataxia, abnormal gait"
RODS CC		Neurologic	0	0	0	1	0							0	Ataxia	LossOfBalance	RelatedConcept		0	0	1	0	0	0	0	0	0							"loss of balance, staggering, abnormal gait"
RODS CC		Neurologic	0	0	0	1	0							0	Ataxia	AbnormalGait	RelatedConcept	C0575081:Abnormal gait	0	0	1	0	0	0	0	0	0							"abnormal gait, staggering"
ICD	5	Gastrointestinal	0	0	0	0	0				1	1	1	0	BacterialFoodPoisoning	BacterialFoodPoisoning 	ConceptName	C0178496:Bacterial food poisoning	1	0	0	0	0	0	1	0	0		Foodborne Diseases [C21.613.415]					"bacterial food poisoning, staphylococcal food poisoning"
ICD-9	351	Botulinic	0	0	1	1	0							0	BellsPalsy	BellsPalsy	ConceptName	C0376175:Bell Palsy	1	0	0	0	0	1	0	0	0		Bell Palsy [C10.292.300.250]					"bell's palsy, facial paralysis"
RODS CC		Hemorrhagic	0	1	0	0	0							0	BleedingFromOrifices	RectalBleeding	RelatedConcept	C0267596:Rectal bleeding	0	0	1	0	0	1	0	0	0							rectal bleeding
RODS CC		Hemorrhagic	0	1	0	0	0							0	BleedingFromOrifices	VaginalBleeding	RelatedConcept	C0151706:VAGINAL BLEEDING	0	0	1	0	0	1	0	0	0							vaginal bleeding
Biocaster	SYMPTOM_103	Hemorrhagic	0	1	0	0	0							0	BleedingFromOrifices	BleedingFromGums	RelatedConcept	C2230227:bleeding gums	0	0	1	0	0	1	0	0	0							bleeding from gums
Biocaster	SYMPTOM_99	Hemorrhagic	0	1	0	0	0							0	BleedingFromOrifices	BleedingFromOrifices	ConceptName		0	0	1	0	0	1	0	0	0							bleeding from orifices
RODS CC		Hemorrhagic	0	1	0	0	0							0	BleedingFromSurgicalIncision	BleedingFromSurgicalIncision	ConceptName		0	0	1	0	0	1	0	0	0							bleeding from surgical incision
RODS CC		Hemorrhagic	0	1	0	0	0							0	BleedingFromTubeOrCatheter	BleedingFromTubeOrCatheter	ConceptName		0	0	1	0	0	1	0	0	0							"bleeding from tube, bleeding from catheter, bleeding from tube or catheter"
ICD-9	5.1	Botulinic	0	0	1	0	0							0	Botulism	Botulism	ConceptName	C0006057:Botulism	1	0	0	0	0	0	0	1	0		Botulism [C10.720.150]					"botulism, facial nerve paralysis, peripheral paralysis"
55 respiratory		Respiratory	0	0	0	0	0	1		1				0	BreathSoundsDecreased	BreathSoundsDecreased	ConceptName		0	0	1	0	1	0	0	0	0							"breath sounds decreased, collapsed lung"
SyndromeCC		Respiratory	0	0	0	0	0	1	1	1				0	Bronchitis	Bronchitis	ConceptName	C0006277:Bronchitis	1	0	0	0	0	1	0	0	0		Bronchitis [C08.127.446]					brionchitis [\bbrionchi.*?\b] [C0006277:Bronchitis]:::bronchit [\bbronchi.*?\b] [C0006277:Bronchitis]:::
Biocaster	962	Constitutional	0	0	0	0	1							0	Brucellosis	Brucellosis	ConceptName	C0006309:Brucellosis	1	0	0	0	0	0	0	1	0		Brucellosis [C01.252.400.167]					brucellosis
Biocaster	SYMPTOM_145	Neurologic	0	0	0	1	0							0	CerebralDysfunction	CerebralDysfunction	ConceptName	C0262405:CEREBRAL DYSFUNCTION	0	1	0	0	1	0	0	0	0							"derebral dysfunction, CVA"
RODS CC		Neurologic	0	0	0	1	0							0	CerebrovascularAccident	CerebrovascularAccident	ConceptName	C0038454:Cerebrovascular accident	1	0	0	0	0	1	0	0	0		Stroke [C10.228.140.300.775]					"cerebralvascular accident, CVA, intercrancal bleed, cerebral infarct"
RODS CC		Neurologic	0	0	0	1	0							0	CerebrovascularAccident	CerebralBleed	RelatedConcept		1	0	0	0	0	1	0	0	0							"cerebral bleed, CVA, CVI, stroke"
RODS CC		Neurologic	0	0	0	1	0							0	CerebrovascularAccident	ExtremityWeakness	RelatedConcept	C0587246:EXTREMITY WEAKNESS 	0	0	0	0	1	0	0	0	0							"extremity weakness, arm weak, leg weak"
RODS CC		Neurologic	0	0	0	1	0							0	CerebrovascularAccident	ExtremityTingling	RelatedConcept	C2242996:Tingling	0	0	0	1	0	0	0	0	0							"extremity tingling, arm tingling, leg tingling"
RODS CC		Neurologic	0	0	0	1	0							0	CerebrovascularAccident	ExtremityNumbness	RelatedConcept	C0239375:EXTREMITY NUMBNESS 	0	0	1	0	1	0	0	0	0							"extremity numbness, arm numb, leg numb"
		Neurologic	0	0	0	1	0							0	CerebrovascularAccident	TransientIschemicAttack	RelatedConcept	C0007787:Transient Ischemic Attack	1	0	0	0	1	0	0	0	0		"Ischemic Attack, Transient [C10.228.140.300.150.836]"					"transient ischemic attack, TIA"
		Respiratory	0	0	0	0	0	1	1	1				0	ChestClear	ChestClear	ConceptName		0	0	1	0	1	0	0	0	0							"chest clear, chest normal, normal breath sounds"
SyndromeCC		Respiratory	0	0	0	0	0	1	1	1				0	ChestCongestion	ChestCongestion	ConceptName	C0242073:CHEST CONGESTION	0	0	0	1	0	0	0	0	0							chest + congest* [\bchest(\s+|\+)con[gj].*?\b] [C0242073:Pulmonary congestion]:::
55 respiratory		Respiratory	0	0	0	0	0	1		1				0	ChestPain	ChestPain	ConceptName	C0008031:Chest Pain [	0	0	0	1	0	0	0	0	0		Chest Pain [C23.888.646.215]					"Chest pain, substernal pain, crushing pain, pain radiates to arm"
55 respiratory		Respiratory	0	0	0	0	0	1		1				0	ChestPain	MusculoSkeletalChestPain	RelatedConcept		0	0	0	1	0	0	0	0	0							musculoskeletal chest pain
55 respiratory		Respiratory	0	0	0	0	0	1		1				0	ChestTenderness	ChestTenderness	ConceptName	C0239008:Chest tenderness 	0	0	1	0	1	0	0	0	0							"chest tenderness, tender chest"
RODS CC		Rash	1	0	0	0	0							0	Chickenpox	Chickenpox	ConceptName	C0008049:Chickenpox	1	0	0	0	0	0	1	0	0		Chickenpox [C02.256.466.175]					"chickenpox, chicken pox, zoster, vesicular rash"
ICD	1	Gastrointestinal	0	0	0	0	0				1	1	1	0	Cholera	Cholera	ConceptName	C0008354:Cholera	1	0	0	0	0	0	0	1	0		Cholera [C01.252.400.959.347]  					cholera
RODS CC		Hemorrhagic	0	1	0	0	0							0	Coagulopathy	Coagulopathy	ConceptName	C0005779:Coagulopathy	1	0	0	0	0	0	1	0	0							"coagulopathy, bleeding"
		Respiratory	0	0	0	0	0	1		1				0	CoarseBreathSounds	CoarseBreathSounds	ConceptName		0	0	1	0	1	0	0	0	0							"coarse breath sounds, bronchial breath sounds"
